,node_id,node_coeff,node_name
0,KovZpZAEAAJA,0.26226412485668016,Everwise Amphitheater at White River State Park
1,KovZ917A-gV,0.25711515882361347,Shelton Auditorium at Butler Arts Center
2,KovZpZAJ6eAA,0.2559883127374925,Howard L. Schrott Center for the Arts
3,KovZpZAIetEA,0.21077917085513165,Lilly Hall Studio Theatre
4,KovZpZAJEaaA,0.2082650753923554,Corteva Coliseum
5,KovZ917AtFx,0.17446480617495363,Virginia Avenue Parking Garage
6,KovZpZAdEJEA,0.17418877017608106,Lucas Oil Stadium
7,KovZpZAJdEkA,0.172550508378627,Clowes Memorial Hall
8,KovZpZAF7AnA,0.16147579219094307,8 Seconds Saloon
9,KovZpZAEAkvA,0.15932657855318547,Old National Centre
10,KovZpZA6keIA,0.15662877682861853,Gainbridge Fieldhouse
11,KovZpZAF77JA,0.14285714285714285,Hinkle Fieldhouse
12,KovZ917AY7l,0.14285714285714285,The Jungle
13,KovZpaoBwe,0.0,Walker Theatre
14,KovZpakSie,0.0,Indiana Convention Center
