,node_id,node_coeff,node_name
0,KovZ917A5L7,0.25068051942491765,Dolby Live
1,KovZ917Ax7n,0.24327653985467107,Allegiant Stadium
2,KovZ917AcIV,0.2420817761945631,Fontainebleau
3,KovZ917ALw8,0.2252012315071973,B Side at House of Blues Las Vegas
4,KovZpZA1e7IA,0.2118914139904367,Orleans Arena
5,KovZpZAF6JEA,0.21108444202676835,Jabbawockeez Theater at MGM Grand Hotel & Casino
6,KovZ917AAD7,0.20603565290105835,Sams Town Live
7,KovZpZAIeldA,0.20473498445626537,Brooklyn Bowl Las Vegas
8,KovZpZAJlvvA,0.20368393317833827,The Showroom at the Golden Nugget
9,KovZ917AABV,0.2002333321207152,Orleans Showroom
10,KovZpZAEAelA,0.19735334240522331,Blue Man Theater at Luxor
11,KovZpZA7dJlA,0.19156672301717478,Paris Ballroom
12,KovZ917A2m7,0.1870300794950741,The Colosseum at Caesars Palace
13,KovZ917AxDG,0.18269813966556334,KAOS at Palms Casino Resort
14,KovZ917AGG7,0.1826981396655633,The Copa Room at Tuscany Suites
15,KovZpZAJalEA,0.18190971334801137,PH Live at Planet Hollywood
16,KovZpZAF6vnA,0.1789052567065172,The Venetian Theatre at The Venetian Resort
17,KovZpaKAZe,0.17562649301757008,Pearl Concert Theater at Palms Casino Resort
18,KovZpZAaIllA,0.1729220592396103,Chrome Showroom at Santa Fe Station Hotel & Casino
19,KovZpZAJAJeA,0.17273637625961438,The Cosmopolitan of Las Vegas
20,KovZpZAEFI6A,0.16804885360522395,South Point Showroom at South Point Hotel Casino and Spa
21,KovZpZAJaldA,0.16787003771806275,Chippendales Theater at Rio Las Vegas
22,KovZ917Ac0J,0.16520278814798467,House of Tape in the Underground Theater
23,KovZ917AQDH,0.16520278814798467,Comedy Cellar at Rio Las Vegas
24,KovZpZAJFJEA,0.16520278814798467,Brad Garrett's Comedy Club
25,KovZpa3xIe,0.16520278814798467,The Summit Showroom at The Venetian Resort
26,KovZ917A-SI,0.16391664620511467,Atomic Saloon in the Grand Canal Shoppes
27,KovZ917A2F0,0.1615271039985474,Criss Angel Theater at Planet Hollywood
28,KovZpZAJanEA,0.1615271039985474,Penn & Teller Theater at Rio Las Vegas
29,KovZ917Atbr,0.159959978755582,Sphere
30,KovZpZA7klAA,0.15945345840257075,House of Blues Las Vegas 
31,KovZpZAJaJ1A,0.14840841181926956,Harrah's Showroom at Harrah's Las Vegas
32,KovZpZAJFnvA,0.1459121199846358,Westgate Las Vegas Resort & Casino
33,KovZpa30pe,0.14316458587791772,Encore Theater at Wynn Las Vegas
34,KovZ917Amxf,0.14285714285714285,DiscoShow at The Linq
35,KovZpZAJaJFA,0.14285714285714285,Rio Showroom at Rio Las Vegas
36,KovZ917App7,0.14285714285714282,The Spiegeltent at Caesars Palace
37,KovZpZA7danA,0.14285714285714282,Michael Jackson ONE Theatre at Mandalay Bay Resort and Casino
38,KovZpZAJadJA,0.14285714285714282,KA Theatre at MGM Grand Hotel and Casino
39,KovZpaFG3e,0.14285714285714282,'O' Theatre at Bellagio Las Vegas
40,KovZpZAJFJJA,0.14285714285714282,New York-New York Theater
41,KovZpZAJaJ7A,0.13643977121085124,Mat Franco Theater at The Linq
42,KovZ917AOfZ,0.13562441099477798,Jimmy Kimmel's Comedy Club
43,KovZpZA1nItA,0.13562441099477793,Palazzo Theatre at The Venetian Resort
44,KovZpZAJFJIA,0.1356244109947779,David Copperfield Theater at MGM Grand Hotel and Casino
45,KovZpZAJalFA,0.1333635951407294,Imagine Showroom at Horseshoe Las Vegas
46,KovZpZAJ6n7A,0.132224773865398,Saxe Theater at Planet Hollywood Inside the Miracle Mile Mall
47,KovZpZAEdlnA,0.12761709903117868,Harrah's Cabaret at Harrah's Las Vegas
48,KovZpaF2Qe,0.12170390883782284,Bugsy's Cabaret at Flamingo
49,KovZpZAJ666A,0.12038115604627679,V Theater at Planet Hollywood Inside the Miracle Mile Mall
50,KovZpZAJanIA,0.11465388673493362,Flamingo Showroom at Flamingo Las Vegas
51,KovZ917AOSm,0.11054247708310123,Thunderland Showroom at Excalibur
52,KovZ917ALsI,0.0,Las Vegas Ballpark
53,KovZpZAdEInA,0.0,SAHARA THEATRE AT SAHARA LAS VEGAS
54,KovZpa30Oe,0.0,Awakening Theater at Wynn Las Vegas
55,KovZpZAFFldA,0.0,Titanic: The Artifact Exhibition at Luxor Hotel and Casino
56,KovZpZAJadIA,0.0,Excalibur Hotel and Casino
57,KovZ917AQTC,0.0,BattleBots Arena Behind Horseshoe Las Vegas
58,KovZpa3TUe,0.0,Bodies:  The Exhibition at Luxor Hotel and Casino
