,node_id,node_coeff,node_name
0,KovZpZAEvnFA,0.26903855289378076,Teragram Ballroom
1,KovZpZAEAl6A,0.2626770212052631,The Wiltern
2,KovZpZAJvttA,0.23757359528815147,The Belasco
3,KovZ917AiI3,0.23307536552336175,The Bellwether
4,KovZ917AJ5H,0.22748815624408278,The Moroccan Lounge
5,KovZpa6OCe,0.22081706881805732,Echoplex
6,KovZ917A967,0.21079132085523145,The Echo
7,KovZ917A2k0,0.20345982178170588,The Peppermint Club
8,KovZpa3uCe,0.19894942462994786,Orpheum Theatre
9,KovZpZAJ6daA,0.19841590302132758,The Regent Theater
10,KovZpa2Hxe,0.19422993383420198,Greek Theatre
11,KovZpZAFAt6A,0.18299869228224758,Luckman Fine Arts Complex
12,rZ7HnEZ17fACA,0.17907778762656637,The Bourbon Room
13,rZ7HnEZ178PaP,0.1725333949866969,Catch One
14,rZ7HnEZ17fZbP,0.17253339498669687,The Vermont Hollywood
15,rZ7HnEZ17f6QA,0.1614666975768287,Exchange LA
16,rZ7HnEZa5yw,0.15586610193001815,The Masonic Lodge at Hollywood Forever
17,rZ7HnEZ17f6_g,0.15038606930982001,Academy LA
18,KovZ917AiNY,0.15038606930982,The Torch at LA Coliseum
19,KovZpa2W1e,0.1421470283451234,Dodger Stadium
20,KovZpZAEd1kA,0.1421470283451234,Mayan Theater
21,KovZpZAJE1vA,0.1421470283451234,Palace Theatre
22,KovZ917A3c0,0.14137483677156074,BMO Stadium
23,KovZpZAEdntA,0.14137483677156074,Crypto.com Arena
24,KovZpZAEeFaA,0.13999122776609702,Hollywood Pantages Theatre
25,KovZpZA7v6tA,0.139980552032242,Wilshire Ebell Theatre
