,node_id,node_coeff,node_name
0,KovZpaFPje,0.30930960698216586,Irving Plaza Powered By Verizon 5G
1,KovZpZA7AAEA,0.29194637372942484,Madison Square Garden
2,KovZpZAJAkAA,0.28620440419780924,Mercury Lounge
3,rZ7HnEZ17F4OA,0.2815928023995375,Drom
4,KovZpZA7dkJA,0.27890174272477397,Bowery Ballroom
5,rZ7HnEZaert,0.26385018352041223,Iridium
6,KovZpZAEAd6A,0.25779370468740637,Beacon Theatre
7,rZ7HnEZ17op04,0.25252063258807766,Sony Hall
8,rZ7HnEZaASU,0.23879255399822608,Blue Note Jazz Club
9,KovZ917AJw7,0.22453946066634892,The Apollo's Jonelle Procope Theater
10,KovZpZAEAE6A,0.21937263400134552,Manhattan Center Hammerstein Ballroom
11,rZ7HnEZ178J7g,0.21667119375344193,Birdland Jazz Club
12,KovZpZA7AAIA,0.20665899142221572,The Apollo's Historic Theater
13,rZ7HnEZ174KrF,0.201959778775519,Birdland Theater
14,KovZpZAaadEA,0.2001216787501843,United Palace
15,KovZpZAEAdaA,0.19906805075404937,Gramercy Theatre
16,KovZpZAE7vdA,0.181175501396394,Radio City Music Hall
17,KovZpZAFdJtA,0.17682861060939473,Town Hall
18,KovZpZA77eJA,0.1648923991194791,Capital One City Parks Foundation SummerStage
19,KovZpZA7kvlA,0.16020228359157584,The Theater at MSG
20,rZ7HnEZ17o4OP,0.1538585526369654,Heaven Can Wait
21,rZ7HnEZa9V3,0.1497048508627976,The Bowery Electric
22,rZ7HnEZ17FwP7,0.14612690030304054,Gramercy Theatre
23,KovZpZAFdJIA,0.14101212197068558,Astor Place Theatre
24,KovZpZAF7etA,0.14101212197068558,Orpheum Theatre NYC
25,KovZpZAF7eIA,0.14101212197068558,Minetta Lane Theatre
26,KovZpZAdaAlA,0.14101212197068558,New Amsterdam Theatre
27,KovZpaF4Ve,0.14101212197068558,The Theater Center
28,rZ7HnEZ178g0P,0.14090706844439638,Berlin
29,rZ7HnEZ178PbA,0.13799605249474364,Hill Country Live
30,KovZpZAEAteA,0.12317051639616895,Florence Gould Theater at L'Alliance New York
