,node_id,node_coeff,node_name
0,KovZpZAEdFIA,0.2660786925627191,Highmark Skyline Stage at the Mann
1,rZ7HnEZ17__4S,0.2646275498123594,Secret Location - Philadelphia
2,KovZpZAa1neA,0.2640918218192433,Citizens Bank Park
3,KovZpZAEktdA,0.26315047607143854,The Foundry
4,KovZ917AcSj,0.2516555260047901,The Ellis Theater
5,KovZ917AiMF,0.25060078024374405,Wells Fargo Center
6,KovZ917Ahxb,0.23634876802657565,The Met Presented by Highmark
7,KovZ917AEtU,0.2129018000457732,Brooklyn Bowl Philadelphia
8,KovZpZAEAIaA,0.20879810902569768,Theatre of Living Arts
9,KovZpZAEkteA,0.20717186756621997,The Fillmore Philadelphia
10,KovZ917AcdZ,0.1921629341747681,Brooklyn Bowl Philadelphia Downstairs
11,KovZ917AxnI,0.1921629341747681,NOTO
12,KovZpZAatnaA,0.184881962667473,The Liacouras Center
13,KovZpZAEvtFA,0.17618356325104756,Punch Line Philly
14,KovZ917Amhj,0.17129890117752639,Punch Line Philly Callback Bar
15,KovZpZAEdFJA,0.1634322269972189,TD Pavilion at the Mann
16,KovZpaoMGe,0.16140540555881697,Walnut Street Theatre
17,KovZpa2yme,0.0,Lincoln Financial Field
