,node_id,node_coeff,node_name
0,rZ7HnEZ17Fp1f,0.28521230475488096,Brick and Mortar Music Hall
1,KovZpZAJF7EA,0.2622653202759962,Oracle Park
2,rZ7HnEZa73K,0.23197214901894883,Cafe Du Nord
3,rZ7HnEZadXm,0.2302373476710858,The Independent
4,KovZpaKope,0.2183954801001882,Bill Graham Civic Auditorium
5,rZ7HnEZaeq7,0.2142856431344098,Bimbo's 365 Club
6,KovZpZAE6eeA,0.21341434239900614,The Fillmore
7,KovZpap0Fe,0.19570697676319573,Palace of Fine Arts
8,KovZpZAJ6nlA,0.19006534285563495,The Masonic
9,KovZ917Ah1H,0.18798685032719153,Chase Center
10,rZ7HnEZ17ao8f,0.1809750682530243,Feinstein's at The Nikko
11,KovZpZAFFt7A,0.17861399113772075,Grace Cathedral
12,KovZpZAEkFEA,0.16933149985286894,Cobb's Comedy Club
13,KovZpZAE6e7A,0.15546679258019516,Punch Line Comedy Club - San Francisco
14,KovZpZAatadA,0.15546679258019516,Herbst Theatre
15,rZ7HnEZa7sP,0.139837931357078,Swedish American Hall
16,rZ7HnEZ17f-ug,0.0,Neck of the Woods
17,KovZpZAE6taA,0.0,Marines Memorial Theatre
