,node_id,node_coeff,node_name
0,KovZpZAEAl6A,0.17004548595935262,The Wiltern
1,KovZ917A58V,0.16849253534459188,The Bronze Peacock at House of Blues Houston
2,KovZpZAdakJA,0.16693989836245565,Lenovo Center
3,KovZpZAEAltA,0.16610807774415473,House of Blues San Diego
4,KovZ917Ahkk,0.1653681689158635,Climate Pledge Arena
5,KovZpZAEktdA,0.16498169362815857,The Foundry
6,KovZpZA11JtA,0.16488832050536867,Paradise Rock Club presented by Citizens
7,KovZpaFPje,0.16462294950241865,Irving Plaza Powered By Verizon 5G
8,KovZpZA1lJ7A,0.16452889361006087,Vinyl
9,KovZpZAE6eeA,0.16451646857038707,The Fillmore
10,KovZpZAJAkAA,0.16436923511910767,Mercury Lounge
11,KovZpZAJeFkA,0.1640214182842297,Marquis
12,rZ7HnEZ17aJq7,0.16399410987641663,Thalia Hall
13,KovZ917A3Y7,0.16392493141709455,The Anthem
14,KovZpZAIvlIA,0.16237584624901535,The Cambridge Room at House Of Blues
15,KovZpZAE6eJA,0.1618959758813571,Fillmore Auditorium (Denver)
16,rZ7HnEZadyf,0.16166533039240086,3rd and Lindsley
17,KovZ917Ax7n,0.16142058014192628,Allegiant Stadium
18,KovZ917AJ5H,0.16111905946510313,The Moroccan Lounge
19,KovZ917AiGZ,0.16094414679353142,White Oak Music Hall - Downstairs
20,KovZ917AOzm,0.16093950035444582,The Masquerade - Purgatory
21,KovZpa2M7e,0.16029831710205822,United Center
22,KovZpZAJedlA,0.15954004314183898,Atlanta Symphony Hall
23,KovZ917AOr1,0.1594981163571603,Brown County Music Center
24,KovZpZAFaJeA,0.15938418914040525,Ball Arena
25,KovZ917AiI3,0.15897914875244956,The Bellwether
26,rZ7HnEZ178O8g,0.1589439093453362,Music Box
27,KovZpZAJAllA,0.15875876555169244,Buckhead Theatre
28,KovZpZAJJ7FA,0.15872418367772312,Arena Theatre
29,KovZpZA7knFA,0.15825854592383937,9:30 CLUB
30,KovZpZAEAkEA,0.15824907311963274,Saint Andrew's Hall
31,KovZpZAEAIlA,0.157739261481669,House of Blues Chicago
32,KovZpZAE6k1A,0.15769808602862115,House of Blues Houston
33,KovZpZAEAF7A,0.1576777459738795,House of Blues Dallas 
34,KovZpZAJ6daA,0.1573873408501779,The Regent Theater
35,KovZpZA7dkJA,0.15732253759364934,Bowery Ballroom
36,KovZpa6OCe,0.15725258753991894,Echoplex
37,KovZpZAEkteA,0.1571842127890138,The Fillmore Philadelphia
38,KovZpZAJIedA,0.15713739352949524,The Ritz
39,KovZpZA7AAEA,0.1570870701657393,Madison Square Garden
40,KovZpZA1tn1A,0.1566877243649339,The Loft
41,KovZpaFEZe,0.15664447938016707,Tabernacle
42,KovZpZAEvnFA,0.15639660114669596,Teragram Ballroom
43,rZ7HnEZ17397g,0.1561395156973518,Madame Lou's
44,KovZpZAaJeaA,0.1560689590661427,The Bluestone
45,KovZ917ARdB,0.15535895851510342,Outset
46,KovZpZAJvttA,0.1550561439862565,The Belasco
47,KovZpZAEAktA,0.15492182719615427,The Fillmore Detroit
48,KovZ917AEtU,0.15483943442577228,Brooklyn Bowl Philadelphia
49,KovZpZAIeldA,0.15482085565951806,Brooklyn Bowl Las Vegas
50,KovZpZA6taAA,0.15477677187121805,Bridgestone Arena
51,KovZpapwne,0.1547680491048216,Brighton Music Hall presented by Citizens
52,KovZ917AmQG,0.15470586504457645,The Masquerade  - Altar
53,KovZpZA1vFJA,0.15444910400439746,Moore Theatre
54,KovZ917AI8j,0.1543689070938938,Voodoo Room at the House of Blues San Diego
55,KovZpa2Xke,0.15422008418683428,State Farm Arena
56,KovZpZAEAdaA,0.15365135825814247,Gramercy Theatre
57,KovZ917A2k0,0.1535026613067362,The Peppermint Club
58,KovZpZAEAkvA,0.1533605902434767,Old National Centre
59,KovZ917AiMF,0.1532746982950606,Wells Fargo Center
60,KovZ917AI5F,0.15295874295403486,The Salt Shed Indoors (Shed)
61,KovZpZA7klAA,0.15294666197761175,House of Blues Las Vegas 
62,rZ7HnEZadXm,0.15292421546379711,The Independent
63,KovZ917A25V,0.1527334715953085,Little Caesars Arena
64,KovZpZA77JtA,0.15267746010533373,The Shelter
65,rZ7HnEZ1789Gg,0.15266099207779563,The Basement East
66,KovZ917Ahxb,0.15265260924797858,The Met Presented by Highmark
67,KovZ917A5L7,0.1526316691702027,Dolby Live
68,KovZpZAFF1nA,0.1521975466973323,Martin Marietta Center for the Performing Arts
69,KovZpZA6AJ6A,0.15200150617002395,The Chicago Theatre
70,KovZpaKuJe,0.15110256032831862,Capital One Arena
