,node_id,node_centrality,node_name
0,KovZpaFEZe,0.9500000000000001,Tabernacle
1,KovZpZAJAllA,0.9500000000000001,Buckhead Theatre
2,KovZ917AOzm,0.9500000000000001,The Masquerade - Purgatory
3,KovZpZAJedlA,0.9500000000000001,Atlanta Symphony Hall
4,KovZpa2WHe,0.9500000000000001,The Masquerade - Heaven
5,KovZ917AOz0,0.9500000000000001,The Masquerade - Hell
6,KovZ917ALpY,0.9,Presence Arena
7,KovZpZAFF1tA,0.9,Center Stage Theater
8,KovZpZA1lJ7A,0.9,Vinyl
9,KovZ917ACc7,0.9,Coca-Cola Roxy
10,KovZ917AmQG,0.9,The Masquerade  - Altar
11,KovZpa2Xke,0.9,State Farm Arena
12,KovZpZAFkkEA,0.8500000000000001,The Masquerade Music Park
13,KovZpa3j7e,0.8500000000000001,Cobb Energy Performing Arts Centre
14,KovZpZA1tn1A,0.8500000000000001,The Loft
15,KovZpZAEkAaA,0.8500000000000001,Cadence Bank Amphitheatre at Chastain Park
16,KovZpZA1vkIA,0.8,Ticketmaster Test Stadium
17,KovZpZAEdJaA,0.65,Mercedes-Benz Stadium
18,KovZpZAtv11A,0.6000000000000001,Truist Park
19,KovZpZAEkeFA,0.30000000000000004,Lakewood Amphitheatre
20,KovZ917AJpm,0.15000000000000002,Presence Stadium
