,node_id,node_centrality,node_name
0,KovZpZAE6k1A,0.8,House of Blues Houston
1,KovZ917AiGZ,0.8,White Oak Music Hall - Downstairs
2,KovZpZAEkIIA,0.8,Bayou Music Center
3,KovZ917APwH,0.8,713 Music Hall
4,KovZ917Ai5U,0.8,White Oak Music Hall - Upstairs 
5,KovZ917A58V,0.6666666666666666,The Bronze Peacock at House of Blues Houston
6,KovZpZAJJ7FA,0.6666666666666666,Arena Theatre
7,KovZpZAJJEtA,0.6,Zilkha Hall at the Hobby Center
8,KovZ917Ata1,0.5333333333333333,White Oak Music Hall Lawn
9,KovZpZAJaEaA,0.5333333333333333,NRG Arena
10,KovZ917ARGO,0.4,Punch Line Houston
11,KovZpZAEdFeA,0.3333333333333333,NRG Stadium
12,KovZpZAJJEaA,0.26666666666666666,Hobby Center
13,KovZ917Acs8,0.26666666666666666,NOTO
14,KovZpZAJIJ6A,0.0,Tudor Fieldhouse
15,KovZpaFrke,0.0,Shell Energy Stadium
