,node_id,node_centrality,node_name
0,KovZpZAEAkvA,0.7857142857142857,Old National Centre
1,KovZpZAJdEkA,0.7142857142857142,Clowes Memorial Hall
2,KovZpZA6keIA,0.5714285714285714,Gainbridge Fieldhouse
3,KovZpZAF7AnA,0.5,8 Seconds Saloon
4,KovZpZAdEJEA,0.5,Lucas Oil Stadium
5,KovZpZAJ6eAA,0.42857142857142855,Howard L. Schrott Center for the Arts
6,KovZpZAEAAJA,0.42857142857142855,Everwise Amphitheater at White River State Park
7,KovZ917AtFx,0.3571428571428571,Virginia Avenue Parking Garage
8,KovZpZAJEaaA,0.3571428571428571,Corteva Coliseum
9,KovZ917A-gV,0.2857142857142857,Shelton Auditorium at Butler Arts Center
10,KovZpZAIetEA,0.2857142857142857,Lilly Hall Studio Theatre
11,KovZpZAF77JA,0.14285714285714285,Hinkle Fieldhouse
12,KovZ917AY7l,0.14285714285714285,The Jungle
13,KovZpaoBwe,0.07142857142857142,Walker Theatre
14,KovZpakSie,0.0,Indiana Convention Center
