,node_id,node_centrality,node_name
0,KovZpZAJ6daA,0.96,The Regent Theater
1,KovZ917AiI3,0.84,The Bellwether
2,KovZpa3uCe,0.84,Orpheum Theatre
3,KovZpZAEAl6A,0.84,The Wiltern
4,KovZpa6OCe,0.84,Echoplex
5,KovZ917A967,0.84,The Echo
6,KovZpZAJvttA,0.84,The Belasco
7,KovZ917AJ5H,0.8,The Moroccan Lounge
8,KovZ917A2k0,0.8,The Peppermint Club
9,KovZpZAEvnFA,0.76,Teragram Ballroom
10,rZ7HnEZ17f6_g,0.76,Academy LA
11,rZ7HnEZ17fACA,0.76,The Bourbon Room
12,rZ7HnEZa5yw,0.76,The Masonic Lodge at Hollywood Forever
13,KovZpa2Hxe,0.76,Greek Theatre
14,KovZ917AiNY,0.76,The Torch at LA Coliseum
15,KovZpa2W1e,0.72,Dodger Stadium
16,KovZpZAFAt6A,0.72,Luckman Fine Arts Complex
17,KovZpZAEd1kA,0.72,Mayan Theater
18,KovZpZAJE1vA,0.72,Palace Theatre
19,rZ7HnEZ178PaP,0.36,Catch One
20,rZ7HnEZ17fZbP,0.36,The Vermont Hollywood
21,KovZpZA7v6tA,0.32,Wilshire Ebell Theatre
22,rZ7HnEZ17f6QA,0.24,Exchange LA
23,KovZ917A3c0,0.12,BMO Stadium
24,KovZpZAEdntA,0.12,Crypto.com Arena
25,KovZpZAEeFaA,0.08,Hollywood Pantages Theatre
