,node_id,node_centrality,node_name
0,KovZ917AOr1,0.9230769230769231,Brown County Music Center
1,rZ7HnEZadyf,0.9230769230769231,3rd and Lindsley
2,rZ7HnEZ17fdZg,0.9230769230769231,The Bluebird Cafe
3,rZ7HnEZ1789Gg,0.9230769230769231,The Basement East
4,rZ7HnEZ178dk4,0.8461538461538463,Marathon Music Works
5,rZ7HnEZa6iQ,0.7692307692307693,Exit/In
6,KovZpZA6taAA,0.7692307692307693,Bridgestone Arena
7,KovZ917APep,0.7692307692307693,Brooklyn Bowl Nashville
8,KovZ917Ai-Q,0.7692307692307693,Riverside Revival
9,KovZpZAEet7A,0.6923076923076923,Ascend Amphitheater
10,KovZ917APYJ,0.6153846153846154,GEODIS Park
11,rZ7HnEZak6S,0.46153846153846156,The Basement
12,rZ7HnEZ17fa7P,0.46153846153846156,The East Room
13,KovZpZAF6eJA,0.0,Nashville Municipal Auditorium
