,node_id,node_centrality,node_name
0,KovZpaKuJe,0.9375,Capital One Arena
1,KovZpZA7knFA,0.8125,9:30 CLUB
2,KovZ917AinI,0.8125,The Atlantis
3,KovZ917A3Y7,0.6875,The Anthem
4,KovZpZAFk6EA,0.6875,Lincoln Theatre
5,KovZpZAJv7aA,0.625,Warner Theatre
6,KovZpaKdYe,0.625,DAR Constitution Hall
7,rZ7HnEZ17ffO4,0.5625,Pearl Street Warehouse
8,rZ7HnEZ173614,0.5,Warner Theatre
9,KovZpZAFk6lA,0.4375,The National Theatre
10,KovZpZAa1eEA,0.4375,Lisner Auditorium
11,KovZpZA1J67A,0.375,Nationals Park
12,KovZpZAadt7A,0.3125,Echostage
13,KovZ917AJq3,0.25,Soundcheck
14,KovZ917ALJb,0.125,Charles E. Smith Center
15,KovZ917Ah1Z,0.125,Entertainment & Sports Arena
16,KovZ917AcjI,0.0625,World Stage Theater at the Museum of the Bible
