,node_id,node_centrality,node_name
0,KovZpZAEAkvA,0.2077692760447322,Old National Centre
1,KovZ917AxAB,0.19952913478516773,The Observatory North Park
2,KovZpZAFnltA,0.19776339022954678,Neptune Theatre
3,KovZpZAEAIaA,0.19776339022954678,Theatre of Living Arts
4,KovZpZAFkvEA,0.19658622719246616,Paramount Theatre
5,KovZpZAE6k1A,0.1948204826368452,House of Blues Houston
6,KovZpZAJAllA,0.1948204826368452,Buckhead Theatre
7,KovZpZAFa1nA,0.19305473808122425,Paramount Theatre
8,KovZpZAFFt1A,0.19246615656268393,Summit
9,KovZpZAJ6daA,0.1918775750441436,The Regent Theater
10,KovZpZA7dkJA,0.19128899352560327,Bowery Ballroom
11,KovZpaFEZe,0.19128899352560327,Tabernacle
12,KovZpZAEeFtA,0.19011183048852265,Wells Hall at The Parker
13,KovZpZA7knFA,0.18952324896998232,9:30 CLUB
14,KovZpZAEAdaA,0.18952324896998232,Gramercy Theatre
15,KovZpZAEAlIA,0.18952324896998232,Balboa Theatre
16,KovZ917AiGZ,0.18893466745144202,White Oak Music Hall - Downstairs
17,rZ7HnEZ17aJq7,0.18893466745144202,Thalia Hall
18,KovZ917AxY0,0.18893466745144202,The Echo Lounge & Music Hall
19,KovZpZA1vFJA,0.18893466745144202,Moore Theatre
20,KovZpZAFF1nA,0.1883460859329017,Martin Marietta Center for the Performing Arts
21,KovZpZAEAIlA,0.1883460859329017,House of Blues Chicago
22,KovZpZA6kdtA,0.18775750441436137,Fox Theatre Detroit
23,KovZpZAEA7eA,0.18716892289582107,Citizens House of Blues Boston
24,KovZpZAJIedA,0.18716892289582107,The Ritz
25,rZ7HnEZadXm,0.18716892289582107,The Independent
26,KovZpa2Xke,0.18658034137728075,State Farm Arena
27,KovZpZAEkteA,0.18658034137728075,The Fillmore Philadelphia
28,KovZpZAFF1tA,0.18658034137728075,Center Stage Theater
29,KovZpZA6taAA,0.18599175985874042,Bridgestone Arena
30,KovZ917APep,0.18540317834020012,Brooklyn Bowl Nashville
31,KovZpZAEAl6A,0.18540317834020012,The Wiltern
32,KovZ917Ai5U,0.1848145968216598,White Oak Music Hall - Upstairs 
33,KovZ917AEJz,0.1848145968216598,MGM Music Hall at Fenway
34,KovZ917APwH,0.18363743378457914,713 Music Hall
35,KovZpZA7klAA,0.18363743378457914,House of Blues Las Vegas 
36,KovZpaKuJe,0.18304885226603884,Capital One Arena
37,KovZpa2M7e,0.18304885226603884,United Center
38,KovZpZAEvnlA,0.18304885226603884,Au-Rene Theater at the Broward Center
39,KovZpZAEAktA,0.18304885226603884,The Fillmore Detroit
40,KovZpa2gne,0.18246027074749852,TD Garden
41,KovZ917ACc7,0.18246027074749852,Coca-Cola Roxy
42,KovZpZAFaJeA,0.18246027074749852,Ball Arena
43,KovZ917AinI,0.18246027074749852,The Atlantis
44,KovZ917Ahkk,0.18246027074749852,Climate Pledge Arena
45,KovZ917A25V,0.1812831077104179,Little Caesars Arena
46,KovZpZAEAkEA,0.1812831077104179,Saint Andrew's Hall
47,KovZpZA7AeJA,0.1812831077104179,Amaturo Theater at Broward Center
48,rZ7HnEZa7CC,0.1812831077104179,Majestic Theatre
49,KovZpZAEkIIA,0.18069452619187756,Bayou Music Center
50,KovZpa35ee,0.18069452619187756,Music Hall Center
51,KovZpZAEAltA,0.18010594467333724,House of Blues San Diego
52,KovZpZAE7vdA,0.17951736315479694,Radio City Music Hall
53,KovZpZA7AAEA,0.17951736315479694,Madison Square Garden
54,KovZpaFPje,0.17834020011771629,Irving Plaza Powered By Verizon 5G
55,rZ7HnEZae-Y,0.17834020011771629,The Crocodile
56,KovZpZAFdJtA,0.177751618599176,Town Hall
57,KovZpZAJ666A,0.17716303708063566,V Theater at Planet Hollywood Inside the Miracle Mile Mall
58,KovZ917AiMF,0.17716303708063566,Wells Fargo Center
59,KovZpZAEA6kA,0.17716303708063566,San Diego Civic Theatre
60,KovZpZAJd6FA,0.17598587404355504,Boch Center Wang Theatre
61,KovZpZAEktdA,0.17598587404355504,The Foundry
62,KovZpZAJdEkA,0.17598587404355504,Clowes Memorial Hall
63,KovZpZAFk6EA,0.17598587404355504,Lincoln Theatre
64,KovZpZAJv7aA,0.1753972925250147,Warner Theatre
65,KovZ917Ahxb,0.1753972925250147,The Met Presented by Highmark
66,KovZpZAJedlA,0.1753972925250147,Atlanta Symphony Hall
67,KovZpZAdakJA,0.17480871100647438,Lenovo Center
68,KovZpap0Fe,0.17480871100647438,Palace of Fine Arts
69,KovZpZAFl6vA,0.17480871100647438,Majestic Theatre Dallas
70,KovZpZAE6eeA,0.17480871100647438,The Fillmore
71,rZ7HnEZ17op04,0.17422012948793408,Sony Hall
72,KovZpZAEAF7A,0.17422012948793408,House of Blues Dallas 
73,KovZ917AiI3,0.17422012948793408,The Bellwether
74,KovZpa3j7e,0.17422012948793408,Cobb Energy Performing Arts Centre
75,KovZpZAJvttA,0.17422012948793408,The Belasco
76,KovZpZA6keIA,0.17363154796939376,Gainbridge Fieldhouse
77,KovZ917AxdQ,0.17363154796939376,Big Night Live
78,KovZpZA7kvlA,0.17304296645085343,The Theater at MSG
79,KovZpZA6A1EA,0.17304296645085343,Schottenstein Center
80,KovZpZA11JtA,0.17304296645085343,Paradise Rock Club presented by Citizens
81,rZ7HnEZ178O8g,0.17304296645085343,Music Box
82,KovZpa2WHe,0.17304296645085343,The Masquerade - Heaven
83,KovZ917Ah1H,0.1724543849323131,Chase Center
84,KovZ917A3Y7,0.1718658034137728,The Anthem
85,rZ7HnEZaeq7,0.1718658034137728,Bimbo's 365 Club
86,KovZpZAJAkAA,0.17127722189523248,Mercury Lounge
87,rZ7HnEZ1789Gg,0.17127722189523248,The Basement East
88,KovZpa30pe,0.17068864037669215,Encore Theater at Wynn Las Vegas
89,KovZpZAEet7A,0.17068864037669215,Ascend Amphitheater
90,KovZpZAJ67eA,0.16951147733961153,American Airlines Center
91,KovZ917AEtU,0.16951147733961153,Brooklyn Bowl Philadelphia
92,KovZ917AI5F,0.16951147733961153,The Salt Shed Indoors (Shed)
93,KovZpZA6AJ6A,0.1689228958210712,The Chicago Theatre
94,KovZpZAJFnvA,0.1689228958210712,Westgate Las Vegas Resort & Casino
95,KovZ917AI8j,0.1689228958210712,Voodoo Room at the House of Blues San Diego
96,KovZpZAEAIvA,0.1683343143025309,The Wilbur
97,KovZpZAJJ7FA,0.1683343143025309,Arena Theatre
98,KovZpaoyie,0.1683343143025309,Wexner Center Mershon Auditorium
99,KovZpZAJalEA,0.16715715126545025,PH Live at Planet Hollywood
100,KovZpZA6kelA,0.16715715126545025,Nationwide Arena
101,KovZ917AOz0,0.16715715126545025,The Masquerade - Hell
102,KovZpZAEeaeA,0.16656856974690995,Rose & Alfred Miniaci Performing Arts Center
103,KovZpZAIeldA,0.16597998822836962,Brooklyn Bowl Las Vegas
104,KovZ917A2m7,0.1653914067098293,The Colosseum at Caesars Palace
105,rZ7HnEZ178dk4,0.1653914067098293,Marathon Music Works
106,KovZpZAEFI6A,0.1653914067098293,South Point Showroom at South Point Hotel Casino and Spa
107,KovZpapwne,0.16480282519128897,Brighton Music Hall presented by Citizens
108,KovZpZAJeFkA,0.16362566215420835,Marquis
109,KovZpZAFd1nA,0.16362566215420835,Agganis Arena
110,KovZpZAEAd6A,0.16303708063566802,Beacon Theatre
111,KovZpZA1lJ7A,0.16303708063566802,Vinyl
112,KovZpa3uCe,0.16303708063566802,Orpheum Theatre
113,KovZpZAEvnFA,0.16303708063566802,Teragram Ballroom
114,KovZpZAEAFdA,0.16303708063566802,South Side Ballroom
115,KovZpa6OCe,0.16244849911712772,Echoplex
116,KovZ917AOzm,0.16244849911712772,The Masquerade - Purgatory
117,KovZpZAdEEvA,0.1618599175985874,Red Hat Amphitheater
118,KovZpZAEAAJA,0.1618599175985874,Everwise Amphitheater at White River State Park
119,KovZpZAEeFFA,0.16127133608004707,Humphreys Backstage Live
120,KovZ917A58V,0.16127133608004707,The Bronze Peacock at House of Blues Houston
121,KovZpZAF6vnA,0.16068275456150677,The Venetian Theatre at The Venetian Resort
122,rZ7HnEZadyf,0.16009417304296644,3rd and Lindsley
123,KovZpZAFAE1A,0.16009417304296644,Sound Board at MotorCity Casino Hotel
124,KovZ917ARdB,0.15950559152442612,Outset
125,KovZ917A2S0,0.15950559152442612,Wintrust Arena
126,rZ7HnEZa6iQ,0.15950559152442612,Exit/In
127,KovZpZAFFE7A,0.15950559152442612,WAMU Theater
128,KovZpa2Hxe,0.15950559152442612,Greek Theatre
129,KovZ917A967,0.15891701000588582,The Echo
130,KovZpZAIvlIA,0.1583284284873455,The Cambridge Room at House Of Blues
131,rZ7HnEZ1734_P,0.15773984696880516,Clock-Out Lounge
132,rZ7HnEZaASU,0.15773984696880516,Blue Note Jazz Club
133,KovZpaKdYe,0.15715126545026487,DAR Constitution Hall
134,KovZpZA77JtA,0.15715126545026487,The Shelter
135,KovZpZAEdFJA,0.15715126545026487,TD Pavilion at the Mann
136,rZ7HnEZ17397g,0.15656268393172454,Madame Lou's
137,rZ7HnEZa7PM,0.15656268393172454,Tractor
138,KovZpZAFdJnA,0.15656268393172454,Byline Bank Aragon Ballroom
139,KovZpZAJ6nlA,0.15656268393172454,The Masonic
140,KovZpZAEkvlA,0.1559741024131842,Revolution Live
141,rZ7HnEZa5yw,0.1559741024131842,The Masonic Lodge at Hollywood Forever
142,KovZ917AJ5H,0.1553855208946439,The Moroccan Lounge
143,rZ7HnEZa73K,0.1553855208946439,Cafe Du Nord
144,KovZpZA1tn1A,0.1553855208946439,The Loft
145,KovZ917AJ-O,0.15420835785756326,The Rady Shell at Jacobs Park
146,KovZpZAaJeaA,0.15303119482048264,The Bluestone
147,KovZ917AOr1,0.1524426133019423,Brown County Music Center
148,rZ7HnEZ17fACA,0.15185403178340198,The Bourbon Room
149,KovZpZAFFvnA,0.15185403178340198,Music Hall At Fair Park
150,KovZpZAJAJeA,0.15185403178340198,The Cosmopolitan of Las Vegas
151,KovZpaKope,0.15185403178340198,Bill Graham Civic Auditorium
152,KovZpZA17ItA,0.15126545026486168,Columbus Athenaeum
153,KovZ917Ax7n,0.15126545026486168,Allegiant Stadium
154,KovZpZAEeadA,0.15126545026486168,Abdo New River Room at the Broward Center
155,KovZ917A2k0,0.15067686874632136,The Peppermint Club
156,KovZpZAE6eJA,0.15067686874632136,Fillmore Auditorium (Denver)
157,rZ7HnEZ17ffO4,0.15067686874632136,Pearl Street Warehouse
158,rZ7HnEZak6C,0.15008828722778103,Rumba Cafe
159,rZ7HnEZ178p-4,0.14949970570924073,The Athenaeum Theatre
160,KovZpaKAZe,0.1489111241907004,Pearl Concert Theater at Palms Casino Resort
161,KovZ917AcIV,0.1489111241907004,Fontainebleau
162,KovZpZAJJEtA,0.14832254267216008,Zilkha Hall at the Hobby Center
163,KovZpZAEkeaA,0.14832254267216008,Coastal Credit Union Music Park at Walnut Creek
164,rZ7HnEZaeqM,0.14773396115361978,Empty Bottle
165,rZ7HnEZ178V74,0.14714537963507945,SOMA - Mainstage
166,rZ7HnEZ17Fp1f,0.14714537963507945,Brick and Mortar Music Hall
167,rZ7HnEZaePL,0.14714537963507945,Bottom Lounge
168,KovZ917A5L7,0.14479105356091818,Dolby Live
169,KovZ917AmQG,0.14420247204237785,The Masquerade  - Altar
170,rZ7HnEZ17F4OA,0.14420247204237785,Drom
171,rZ7HnEZ17oJxA,0.14420247204237785,Brick By Brick
172,KovZ917Ai-Q,0.14361389052383755,Riverside Revival
173,KovZpa4cFe,0.14361389052383755,Petco Park
174,KovZpZAEevAA,0.14361389052383755,T-Mobile Park
175,KovZpZAJF7EA,0.1424367274867569,Oracle Park
176,KovZ917Atbr,0.1418481459682166,Sphere
177,rZ7HnEZaert,0.1418481459682166,Iridium
178,rZ7HnEZaA9c,0.1418481459682166,Skully's Music Diner
179,KovZpZAE7dkA,0.14125956444967627,Clarence Muse Cafe Theater
180,rZ7HnEZ17f6_g,0.14125956444967627,Academy LA
181,KovZ917ALpY,0.14125956444967627,Presence Arena
182,rZ7HnEZ17qf4V,0.14125956444967627,The Church Nightclub
183,KovZ917AiNY,0.14125956444967627,The Torch at LA Coliseum
184,KovZpZAEkAaA,0.14067098293113595,Cadence Bank Amphitheatre at Chastain Park
185,KovZpZAaadEA,0.14008240141259565,United Palace
186,KovZpakX1e,0.13949381989405532,Ford Field
187,KovZpZAJlvvA,0.13949381989405532,The Showroom at the Golden Nugget
188,KovZpZAFAt6A,0.13949381989405532,Luckman Fine Arts Complex
189,KovZpZAFk7tA,0.13949381989405532,Culture Room
