segment_name,genre_name,sub_genre_name,average_price,count
Arts & Theatre,Children's Theatre,Children's Theatre,56.726605504587155,218
Arts & Theatre,Circus & Specialty Acts,Circus,159.5968117559524,2688
Arts & Theatre,Circus & Specialty Acts,Pantomime,76.33333333333333,3
Arts & Theatre,Classical,Classical/Vocal,42.77375,28
Arts & Theatre,Classical,Symphonic,61.67937869822485,507
Arts & Theatre,Comedy,Comedy,60.701876200640335,4685
Arts & Theatre,Cultural,Cultural,39.75,4
Arts & Theatre,Dance,Dance,75.38177793904208,689
Arts & Theatre,Fine Art,Fine Art,42.263959390862944,788
Arts & Theatre,Magic & Illusion,Magic,82.64503534529636,1839
Arts & Theatre,Miscellaneous,Miscellaneous,23.76271186440678,59
Arts & Theatre,Miscellaneous Theatre,Miscellaneous Theatre,72.70301799345692,1834
Arts & Theatre,Multimedia,Multimedia,56.30357142857143,14
Arts & Theatre,Music,Chamber Music,39.166666666666664,6
Arts & Theatre,Opera,Opera,86.2378431372549,51
Arts & Theatre,Performance Art,Performance Art,86.50935866983373,421
Arts & Theatre,Spectacular,Spectacular,142.75,528
Arts & Theatre,Theatre,Comedy,82.6452268292683,2050
Arts & Theatre,Theatre,Drama,83.26284277879343,547
Arts & Theatre,Theatre,Horror,73.0,25
Arts & Theatre,Theatre,Miscellaneous,42.80722891566265,83
Arts & Theatre,Theatre,Monologue,30.0,1
Arts & Theatre,Theatre,Musical,98.83154711444408,3067
Arts & Theatre,Theatre,Mystery,59.0,4
Arts & Theatre,Theatre,Podcast,54.8534375,64
Arts & Theatre,Variety,Cabaret,92.16903587443946,223
Arts & Theatre,Variety,Variety,250.59616438356164,292
Film,Action/Adventure,Action/Adventure,20.16304347826087,46
Film,Animation,Animation,59.6,5
Film,Comedy,Comedy,24.428571428571427,14
Film,Documentary,Documentary,15.0,1
Film,Drama,Drama,15.75,8
Film,Family,Miscellaneous,32.09881578947369,38
Film,Miscellaneous,Miscellaneous,30.580000000000002,14
Film,Music,Music,42.0,3
Miscellaneous,Community/Civic,Community/Civic,83.80525510204083,98
Miscellaneous,Community/Cultural,Public Skating,16.64666666666667,75
Miscellaneous,Fairs & Festivals,Fairs & Festivals,20.333333333333332,81
Miscellaneous,Family,Other,92.8802579582876,911
Miscellaneous,Food & Drink,Food & Drink,49.508620689655174,58
Miscellaneous,Food & Drink,Restaurant,375.0,2
Miscellaneous,Health/Wellness,Health/Wellness,11.5,11
Miscellaneous,Hobby/Special Interest Expos,Hobby/Special Interest Expos,26.96,25
Miscellaneous,Holiday,Holiday,26.451666666666668,24
Miscellaneous,Ice Shows,Ice Shows,66.10575052854122,473
Miscellaneous,Lecture/Seminar,Lecture/Seminar,88.96747524752476,101
Miscellaneous,Multimedia,Multimedia,53.5,2
Miscellaneous,Psychics/Mediums/Hypnotists,Psychics/Mediums/Hypnotists,56.745933333333326,300
Music,Alternative,Alternative,27.515789473684208,38
Music,Alternative,Alternative Metal,29.169999999999998,3
Music,Alternative,Alternative Rock,41.52746192893401,197
Music,Alternative,Ambient Pop,32.42,1
Music,Alternative,Americana,35.375,5
Music,Alternative,Baroque Pop,0.0,2
Music,Alternative,Chamber Pop,75.2775,2
Music,Alternative,Dream Pop,22.47,8
Music,Alternative,Electronic Pop,48.24214285714286,7
Music,Alternative,Goth,65.645,4
Music,Alternative,Indie Pop,23.598372093023258,43
Music,Alternative,Indie Rock,28.564,30
Music,Alternative,Neo-Psychedelia,63.08,4
Music,Alternative,Post-Grunge,27.5,2
Music,Alternative,Post-Punk,19.45375,8
Music,Alternative,Post-Rock/Experimental,31.25,4
Music,Alternative,Psychobilly,82.66,10
Music,Alternative,Shoegaze,19.203333333333333,3
Music,Alternative,Ska,28.4925,4
Music,Alternative,Ska Punk,25.9,5
Music,Ballads/Romantic,Ballads/Romantic,67.89814814814815,27
Music,Blues,Acoustic Blues,56.595,1
Music,Blues,Blues,59.641054216867474,166
Music,Blues,Chicago Blues,32.5,1
Music,Blues,Folk-Blues,22.9425,4
