,node_id,node_coeff,node_name
0,KovZpa2Xke,0.3135524243839661,State Farm Arena
1,KovZpZAJAllA,0.3046531574881646,Buckhead Theatre
2,KovZpZAFF1tA,0.29327939165750705,Center Stage Theater
3,KovZpaFEZe,0.2864530295012516,Tabernacle
4,KovZ917ACc7,0.28356184151282593,Coca-Cola Roxy
5,KovZpZA1tn1A,0.2749981706818633,The Loft
6,KovZpZA1lJ7A,0.2742500531510609,Vinyl
7,KovZpZAJedlA,0.26481066318473473,Atlanta Symphony Hall
8,KovZ917AOzm,0.2564453516571551,The Masquerade - Purgatory
9,KovZpa2WHe,0.24656404886709749,The Masquerade - Heaven
10,KovZ917AOz0,0.24133576872614662,The Masquerade - Hell
11,KovZ917AmQG,0.2366799100116855,The Masquerade  - Altar
12,KovZpZAEdJaA,0.20823643416687787,Mercedes-Benz Stadium
13,KovZpa3j7e,0.20821891452633612,Cobb Energy Performing Arts Centre
14,KovZpZAFkkEA,0.18504805639732821,The Masquerade Music Park
15,KovZpZAEkAaA,0.18401263356137407,Cadence Bank Amphitheatre at Chastain Park
16,KovZpZAEkeFA,0.1652205584812805,Lakewood Amphitheatre
17,KovZ917ALpY,0.1651723531954949,Presence Arena
18,KovZpZAtv11A,0.1436522564763289,Truist Park
19,KovZpZA1vkIA,0.13681811318836598,Ticketmaster Test Stadium
20,KovZ917AJpm,0.13370141111754483,Presence Stadium
