,node_id,node_coeff,node_name
0,rZ7HnEZak6C,0.31496340817984236,Rumba Cafe
1,rZ7HnEZaA9c,0.31448929926658226,Skully's Music Diner
2,KovZpZAaJeaA,0.3087360301498323,The Bluestone
3,rZ7HnEZ17FAJ4,0.29192504593577084,Woodlands Tavern
4,rZ7HnEZ178p-4,0.28835479369710104,The Athenaeum Theatre
5,KovZpZAEAAeA,0.2839796572878975,Ohio Stadium
6,KovZpZAEAAtA,0.2819878697644296,Ohio State University Ice Rink
7,KovZpZAEAAaA,0.27681503446560707,Southern Theatre
8,KovZpZAaJ17A,0.25832200487520635,The Event Center at Hollywood Casino Columbus
9,KovZpZAEAAvA,0.23869550571276457,Ohio Expo Center & State Fair
10,KovZpZAEkA1A,0.23857807840221595,Columbus Civic Center
11,KovZpZA17ItA,0.21871980748787714,Columbus Athenaeum
12,KovZpZAEAAdA,0.2,Ohio Theatre
13,KovZpZA6A1EA,0.17450183903511954,Schottenstein Center
14,KovZpZA6kelA,0.16895350844162252,Nationwide Arena
15,KovZpaoyie,0.14414334949352706,Wexner Center Mershon Auditorium
16,KovZpZAEAA7A,0.13333333333333333,Palace Theatre Columbus
17,KovZ917A-LH,0.0,Covelli Center Columbus
18,KovZpa2BVe,0.0,Huntington Park
