,node_id,node_coeff,node_name
0,KovZpZAEAF7A,0.4077722036244342,House of Blues Dallas 
1,KovZpZAJ67eA,0.3747009268876872,American Airlines Center
2,KovZpZAFl6vA,0.2895111956694384,Majestic Theatre Dallas
3,KovZpZAEAFeA,0.28499599111278284,Dos Equis Pavilion
4,rZ7HnEZ17oPbP,0.26726667166148427,Trees
5,KovZpZAIvlIA,0.24500715882146054,The Cambridge Room at House Of Blues
6,KovZpZAFFvnA,0.23193515049249727,Music Hall At Fair Park
7,KovZpZAE7dkA,0.2206487602614044,Clarence Muse Cafe Theater
8,KovZpabeVe,0.20998684164914555,Margot and Bill Winspear Opera House
9,KovZpZAEAFdA,0.2091004286628313,South Side Ballroom
10,KovZpZA1vanA,0.20693782910628225,Morton H. Meyerson Symphony Center
11,KovZpZAdlkEA,0.20693782910628225,Southside Music Hall
12,KovZ917AxY0,0.19911921054734355,The Echo Lounge & Music Hall
13,KovZpZAE7daA,0.16666666666666666,Tbaal Room T 314
14,KovZpZAE7d6A,0.14325389398733815,Bruton Theatre
