,node_id,node_coeff,node_name
0,KovZpZAJJ7FA,0.32449090538566727,Arena Theatre
1,KovZ917A58V,0.3232381116459625,The Bronze Peacock at House of Blues Houston
2,KovZpZAE6k1A,0.29368636704753626,House of Blues Houston
3,KovZ917AiGZ,0.29112652844589165,White Oak Music Hall - Downstairs
4,KovZ917APwH,0.2677805591141287,713 Music Hall
5,KovZ917Ai5U,0.2500198587477137,White Oak Music Hall - Upstairs 
6,KovZpZAEkIIA,0.24419673360624855,Bayou Music Center
7,KovZpZAJaEaA,0.2389072799944559,NRG Arena
8,KovZ917Ata1,0.23113045290074244,White Oak Music Hall Lawn
9,KovZpZAEdFeA,0.21393902647752383,NRG Stadium
10,KovZ917Acs8,0.20685332403492138,NOTO
11,KovZ917ARGO,0.18575455636978416,Punch Line Houston
12,KovZpZAJJEtA,0.17386844894358178,Zilkha Hall at the Hobby Center
13,KovZpZAJJEaA,0.16901893448797198,Hobby Center
14,KovZpZAJIJ6A,0.0,Tudor Fieldhouse
15,KovZpaFrke,0.0,Shell Energy Stadium
