,node_id,node_coeff,node_name
0,KovZpZAEeFFA,0.2701034232825489,Humphreys Backstage Live
1,KovZpZAJ6d1A,0.250879439188364,Jacobs Music Center
2,KovZpZA6AEdA,0.23948554180063314,Viejas Arena at Aztec Bowl San Diego State University
3,rZ7HnEZ178VAP,0.23590849400208436,SOMA - Sidestage
4,rZ7HnEZ178V74,0.2356039806995213,SOMA - Mainstage
5,rZ7HnEZ178O8g,0.23170713613384675,Music Box
6,KovZ917AxAB,0.22695777685127105,The Observatory North Park
7,KovZpZAEA6kA,0.2205392630431091,San Diego Civic Theatre
8,KovZ917AI8j,0.21487093784122296,Voodoo Room at the House of Blues San Diego
9,KovZpa4cFe,0.21473761395902327,Petco Park
10,KovZpZAEAltA,0.21296676983803972,House of Blues San Diego
11,KovZpZAEAlIA,0.21203792201381966,Balboa Theatre
12,rZ7HnEZ17_K_S,0.21151273075972923,Oasis San Diego Torrey Pine Room
13,rZ7HnEZ17oJxA,0.20646350097537156,Brick By Brick
14,KovZ917AJ-O,0.19442862331042846,The Rady Shell at Jacobs Park
15,KovZpZAJA6IA,0.17940017707966957,Cal Coast Credit Union Open Air Theatre at SDSU
16,rZ7HnEZ17f6Fg,0.1789091828658299,Nova SD
17,rZ7HnEZ17_8ZS,0.17656834518773928,Bloom
18,KovZpZAJ7AIA,0.171713751162252,Humphreys Concerts By the Bay
19,KovZ917AIoi,0.1690107368879586,Snapdragon Stadium
20,rZ7HnEZ17f8O4,0.125,Rock Church
21,rZ7HnEZ17fdFg,0.125,Maranatha Chapel
