,node_id,node_centrality,node_name
0,KovZ917AxdQ,0.9375,Big Night Live
1,KovZpZAEA7eA,0.9375,Citizens House of Blues Boston
2,KovZ917AEJz,0.875,MGM Music Hall at Fenway
3,KovZpZAJd6FA,0.8125,Boch Center Wang Theatre
4,KovZpa2gne,0.8125,TD Garden
5,KovZpapwne,0.8125,Brighton Music Hall presented by Citizens
6,KovZpZA11JtA,0.8125,Paradise Rock Club presented by Citizens
7,KovZpZAFd1nA,0.8125,Agganis Arena
8,KovZpZAEAIvA,0.8125,The Wilbur
9,KovZpZA1EEJA,0.6875,Boch Center Shubert Theatre
10,KovZpZA1J7JA,0.625,Orpheum Theatre presented by Citizens
11,KovZpZAEAdEA,0.625,Leader Bank Pavilion
12,KovZpZAFd1JA,0.5625,Citizens Opera House
13,KovZpa3cze,0.4375,Charles Playhouse
14,KovZ917AJxJ,0.375,The Grand (Boston)
15,KovZ917AEKn,0.375,Scorpion Bar Boston
16,KovZpZAF7vIA,0.0625,Roof At the Case Center
