,node_id,node_centrality,node_name
0,KovZpZAEAIlA,0.7931034482758621,House of Blues Chicago
1,rZ7HnEZ17aJq7,0.7931034482758621,Thalia Hall
2,KovZpa2M7e,0.7241379310344828,United Center
3,KovZ917AI5F,0.7241379310344828,The Salt Shed Indoors (Shed)
4,KovZ917A2S0,0.6896551724137931,Wintrust Arena
5,KovZpZA6AJ6A,0.6896551724137931,The Chicago Theatre
6,rZ7HnEZaeqM,0.6206896551724138,Empty Bottle
7,KovZpZAFdJnA,0.5517241379310345,Byline Bank Aragon Ballroom
8,KovZ917ARdB,0.5517241379310345,Outset
9,KovZpZAFAJEA,0.5172413793103449,Broadway Playhouse at Water Tower Place
10,rZ7HnEZaePL,0.5172413793103449,Bottom Lounge
11,KovZpZAEA7IA,0.48275862068965514,Huntington Bank Pavilion at Northerly Island
12,KovZpa2H7e,0.4482758620689655,Auditorium Theatre
13,KovZpZA6AJAA,0.41379310344827586,CIBC Theatre
14,KovZpZAF6tIA,0.3793103448275862,Soldier Field
15,KovZpZAFlktA,0.3793103448275862,Wrigley Field
16,KovZ917Amf0,0.3793103448275862,The Salt Shed Outdoors (Fairgrounds)
17,KovZpa2Bpe,0.3103448275862069,Credit Union 1 Arena at UIC
18,KovZ917Axum,0.3103448275862069,Copernicus Center
19,rZ7HnEZ17oEag,0.3103448275862069,Carol's Pub
20,rZ7HnEZaeyE,0.3103448275862069,Joe's on Weed Street
21,KovZpZAFAJ7A,0.20689655172413793,James M. Nederlander Theatre
22,KovZ917AR_1,0.20689655172413793,Foundation Room at House of Blues Chicago
23,KovZpZA6kdJA,0.20689655172413793,Briar Street Theatre
24,KovZpZAFAJkA,0.20689655172413793,Cadillac Palace
25,KovZpZAF6alA,0.20689655172413793,Apollo Theater
26,KovZpZAJ61JA,0.20689655172413793,Arie Crown Theater
27,rZ7HnEZ171ZA7,0.10344827586206896,Burlington Bar
28,KovZpZAaE77A,0.06896551724137931,Broadway In Chicago
29,KovZpZAa1lEA,0.034482758620689655,House of Hope
