,node_id,node_centrality,node_name
0,KovZ917AxY0,0.9285714285714285,The Echo Lounge & Music Hall
1,KovZpZAEAFdA,0.8571428571428571,South Side Ballroom
2,KovZpZAIvlIA,0.7857142857142857,The Cambridge Room at House Of Blues
3,KovZpZAFl6vA,0.7142857142857142,Majestic Theatre Dallas
4,KovZpZAE7dkA,0.5714285714285714,Clarence Muse Cafe Theater
5,KovZpZAE7d6A,0.5714285714285714,Bruton Theatre
6,KovZpZAJ67eA,0.5714285714285714,American Airlines Center
7,KovZpZAEAF7A,0.5714285714285714,House of Blues Dallas 
8,KovZpZAFFvnA,0.5,Music Hall At Fair Park
9,KovZpZA1vanA,0.42857142857142855,Morton H. Meyerson Symphony Center
10,KovZpZAdlkEA,0.42857142857142855,Southside Music Hall
11,rZ7HnEZ17oPbP,0.3571428571428571,Trees
12,KovZpZAE7daA,0.14285714285714285,Tbaal Room T 314
13,KovZpabeVe,0.14285714285714285,Margot and Bill Winspear Opera House
14,KovZpZAEAFeA,0.14285714285714285,Dos Equis Pavilion
