,node_id,node_centrality,node_name
0,KovZpZAJ666A,0.6724137931034483,V Theater at Planet Hollywood Inside the Miracle Mile Mall
1,KovZpZAJFnvA,0.6206896551724138,Westgate Las Vegas Resort & Casino
2,KovZpa30pe,0.603448275862069,Encore Theater at Wynn Las Vegas
3,KovZpZA7klAA,0.5862068965517241,House of Blues Las Vegas 
4,KovZpZAEFI6A,0.5172413793103449,South Point Showroom at South Point Hotel Casino and Spa
5,KovZpZAJalEA,0.5,PH Live at Planet Hollywood
6,KovZpZAF6vnA,0.48275862068965514,The Venetian Theatre at The Venetian Resort
7,KovZ917A2m7,0.48275862068965514,The Colosseum at Caesars Palace
8,KovZpZAJAJeA,0.4482758620689655,The Cosmopolitan of Las Vegas
9,KovZpZAJaJ1A,0.4482758620689655,Harrah's Showroom at Harrah's Las Vegas
10,KovZpZAIeldA,0.43103448275862066,Brooklyn Bowl Las Vegas
11,KovZpaKAZe,0.39655172413793105,Pearl Concert Theater at Palms Casino Resort
12,KovZpZA1nItA,0.39655172413793105,Palazzo Theatre at The Venetian Resort
13,KovZpZAJFJIA,0.39655172413793105,David Copperfield Theater at MGM Grand Hotel and Casino
14,KovZ917AOfZ,0.39655172413793105,Jimmy Kimmel's Comedy Club
15,KovZ917Ax7n,0.3620689655172414,Allegiant Stadium
16,KovZpZAaIllA,0.3620689655172414,Chrome Showroom at Santa Fe Station Hotel & Casino
17,KovZ917AOSm,0.3620689655172414,Thunderland Showroom at Excalibur
18,KovZ917AcIV,0.3620689655172414,Fontainebleau
19,KovZ917A5L7,0.3448275862068966,Dolby Live
20,KovZpZAJlvvA,0.3448275862068966,The Showroom at the Golden Nugget
21,KovZ917Atbr,0.3275862068965517,Sphere
22,KovZpZAJ6n7A,0.3275862068965517,Saxe Theater at Planet Hollywood Inside the Miracle Mile Mall
23,KovZ917Ac0J,0.29310344827586204,House of Tape in the Underground Theater
24,KovZ917AQDH,0.29310344827586204,Comedy Cellar at Rio Las Vegas
25,KovZpZAJFJEA,0.29310344827586204,Brad Garrett's Comedy Club
26,KovZpZA7dJlA,0.29310344827586204,Paris Ballroom
27,KovZpa3xIe,0.29310344827586204,The Summit Showroom at The Venetian Resort
28,KovZpaF2Qe,0.27586206896551724,Bugsy's Cabaret at Flamingo
29,KovZpZAEdlnA,0.25862068965517243,Harrah's Cabaret at Harrah's Las Vegas
30,KovZpZAJaJ7A,0.24137931034482757,Mat Franco Theater at The Linq
31,KovZpZAJanIA,0.24137931034482757,Flamingo Showroom at Flamingo Las Vegas
32,KovZ917A2F0,0.1896551724137931,Criss Angel Theater at Planet Hollywood
33,KovZpZAJanEA,0.1896551724137931,Penn & Teller Theater at Rio Las Vegas
34,KovZ917AABV,0.15517241379310345,Orleans Showroom
35,KovZ917AGG7,0.15517241379310345,The Copa Room at Tuscany Suites
36,KovZ917AxDG,0.15517241379310345,KAOS at Palms Casino Resort
37,KovZpZAJalFA,0.13793103448275862,Imagine Showroom at Horseshoe Las Vegas
38,KovZpZA1e7IA,0.13793103448275862,Orleans Arena
39,KovZpZAJaldA,0.10344827586206896,Chippendales Theater at Rio Las Vegas
40,KovZ917ALw8,0.08620689655172414,B Side at House of Blues Las Vegas
41,KovZ917App7,0.06896551724137931,The Spiegeltent at Caesars Palace
42,KovZpZA7danA,0.06896551724137931,Michael Jackson ONE Theatre at Mandalay Bay Resort and Casino
43,KovZpZAJadJA,0.06896551724137931,KA Theatre at MGM Grand Hotel and Casino
44,KovZpaFG3e,0.06896551724137931,'O' Theatre at Bellagio Las Vegas
45,KovZpZAJFJJA,0.06896551724137931,New York-New York Theater
46,KovZ917A-SI,0.05172413793103448,Atomic Saloon in the Grand Canal Shoppes
47,KovZpZAF6JEA,0.05172413793103448,Jabbawockeez Theater at MGM Grand Hotel & Casino
48,KovZpZAEAelA,0.05172413793103448,Blue Man Theater at Luxor
49,KovZ917Amxf,0.034482758620689655,DiscoShow at The Linq
50,KovZ917AAD7,0.034482758620689655,Sams Town Live
51,KovZpZAJaJFA,0.034482758620689655,Rio Showroom at Rio Las Vegas
52,KovZpa30Oe,0.017241379310344827,Awakening Theater at Wynn Las Vegas
53,KovZpZAFFldA,0.017241379310344827,Titanic: The Artifact Exhibition at Luxor Hotel and Casino
54,KovZpZAJadIA,0.017241379310344827,Excalibur Hotel and Casino
55,KovZ917AQTC,0.017241379310344827,BattleBots Arena Behind Horseshoe Las Vegas
56,KovZpa3TUe,0.017241379310344827,Bodies:  The Exhibition at Luxor Hotel and Casino
57,KovZ917ALsI,0.0,Las Vegas Ballpark
58,KovZpZAdEInA,0.0,SAHARA THEATRE AT SAHARA LAS VEGAS
