,node_id,node_centrality,node_name
0,KovZpZAEAdaA,0.9333333333333333,Gramercy Theatre
1,KovZpZAE7vdA,0.9333333333333333,Radio City Music Hall
2,KovZpZAFdJtA,0.9333333333333333,Town Hall
3,KovZpZA7kvlA,0.9333333333333333,The Theater at MSG
4,rZ7HnEZ17op04,0.8,Sony Hall
5,KovZpZA7dkJA,0.7666666666666666,Bowery Ballroom
6,KovZpZAJAkAA,0.7333333333333333,Mercury Lounge
7,rZ7HnEZ178g0P,0.7333333333333333,Berlin
8,KovZpZA7AAEA,0.7333333333333333,Madison Square Garden
9,rZ7HnEZa9V3,0.7333333333333333,The Bowery Electric
10,KovZpaFPje,0.7333333333333333,Irving Plaza Powered By Verizon 5G
11,KovZpZAaadEA,0.7,United Palace
12,KovZpZAEAd6A,0.7,Beacon Theatre
13,rZ7HnEZaASU,0.7,Blue Note Jazz Club
14,rZ7HnEZ178J7g,0.6666666666666666,Birdland Jazz Club
15,rZ7HnEZaert,0.6333333333333333,Iridium
16,rZ7HnEZ174KrF,0.6333333333333333,Birdland Theater
17,KovZpZAEAE6A,0.6333333333333333,Manhattan Center Hammerstein Ballroom
18,rZ7HnEZ17F4OA,0.6333333333333333,Drom
19,KovZpZA77eJA,0.6333333333333333,Capital One City Parks Foundation SummerStage
20,rZ7HnEZ17o4OP,0.5,Heaven Can Wait
21,KovZpZA7AAIA,0.4,The Apollo's Historic Theater
22,KovZ917AJw7,0.4,The Apollo's Jonelle Procope Theater
23,KovZpZAEAteA,0.36666666666666664,Florence Gould Theater at L'Alliance New York
24,KovZpZAFdJIA,0.3,Astor Place Theatre
25,KovZpZAF7etA,0.3,Orpheum Theatre NYC
26,KovZpZAF7eIA,0.3,Minetta Lane Theatre
27,KovZpZAdaAlA,0.3,New Amsterdam Theatre
28,KovZpaF4Ve,0.3,The Theater Center
29,rZ7HnEZ17FwP7,0.23333333333333334,Gramercy Theatre
30,rZ7HnEZ178PbA,0.16666666666666666,Hill Country Live
