,node_id,node_centrality,node_name
0,KovZ917AxAB,0.8571428571428571,The Observatory North Park
1,KovZpZAEAltA,0.8571428571428571,House of Blues San Diego
2,rZ7HnEZ178O8g,0.8095238095238095,Music Box
3,KovZ917AI8j,0.8095238095238095,Voodoo Room at the House of Blues San Diego
4,KovZpZAEAlIA,0.8095238095238095,Balboa Theatre
5,rZ7HnEZ17oJxA,0.7142857142857142,Brick By Brick
6,KovZpZAEA6kA,0.7142857142857142,San Diego Civic Theatre
7,KovZpZAEeFFA,0.6666666666666666,Humphreys Backstage Live
8,KovZpa4cFe,0.6666666666666666,Petco Park
9,rZ7HnEZ178V74,0.6666666666666666,SOMA - Mainstage
10,KovZ917AJ-O,0.6666666666666666,The Rady Shell at Jacobs Park
11,KovZ917AIoi,0.5714285714285714,Snapdragon Stadium
12,KovZpZAJA6IA,0.5714285714285714,Cal Coast Credit Union Open Air Theatre at SDSU
13,KovZpZAJ7AIA,0.5714285714285714,Humphreys Concerts By the Bay
14,KovZpZA6AEdA,0.38095238095238093,Viejas Arena at Aztec Bowl San Diego State University
15,rZ7HnEZ17f6Fg,0.3333333333333333,Nova SD
16,rZ7HnEZ178VAP,0.2857142857142857,SOMA - Sidestage
17,rZ7HnEZ17_8ZS,0.23809523809523808,Bloom
18,rZ7HnEZ17_K_S,0.19047619047619047,Oasis San Diego Torrey Pine Room
19,KovZpZAJ6d1A,0.14285714285714285,Jacobs Music Center
20,rZ7HnEZ17f8O4,0.09523809523809523,Rock Church
21,rZ7HnEZ17fdFg,0.09523809523809523,Maranatha Chapel
