,node_id,node_centrality,node_name
0,KovZpZAE6eeA,0.8823529411764706,The Fillmore
1,KovZ917Ah1H,0.8823529411764706,Chase Center
2,rZ7HnEZadXm,0.8823529411764706,The Independent
3,KovZpap0Fe,0.8235294117647058,Palace of Fine Arts
4,rZ7HnEZaeq7,0.7647058823529411,Bimbo's 365 Club
5,KovZpZAJ6nlA,0.7647058823529411,The Masonic
6,rZ7HnEZa7sP,0.7058823529411764,Swedish American Hall
7,rZ7HnEZa73K,0.7058823529411764,Cafe Du Nord
8,KovZpaKope,0.7058823529411764,Bill Graham Civic Auditorium
9,rZ7HnEZ17Fp1f,0.5882352941176471,Brick and Mortar Music Hall
10,KovZpZAJF7EA,0.5882352941176471,Oracle Park
11,KovZpZAE6e7A,0.5294117647058824,Punch Line Comedy Club - San Francisco
12,KovZpZAatadA,0.5294117647058824,Herbst Theatre
13,KovZpZAEkFEA,0.5294117647058824,Cobb's Comedy Club
14,rZ7HnEZ17ao8f,0.47058823529411764,Feinstein's at The Nikko
15,KovZpZAFFt7A,0.29411764705882354,Grace Cathedral
16,rZ7HnEZ17f-ug,0.058823529411764705,Neck of the Woods
17,KovZpZAE6taA,0.0,Marines Memorial Theatre
