,node_id,node_centrality,node_name
0,rZ7HnEZ17397g,0.8235294117647058,Madame Lou's
1,rZ7HnEZa7PM,0.8235294117647058,Tractor
2,rZ7HnEZae-Y,0.8235294117647058,The Crocodile
3,rZ7HnEZ1734_P,0.8235294117647058,Clock-Out Lounge
4,KovZpZA1vFJA,0.7647058823529411,Moore Theatre
5,KovZ917Ahkk,0.7647058823529411,Climate Pledge Arena
6,KovZpZAFkvEA,0.7058823529411764,Paramount Theatre
7,KovZpZAFnltA,0.7058823529411764,Neptune Theatre
8,KovZpZAFFE7A,0.6470588235294118,WAMU Theater
9,KovZpZAEevAA,0.6470588235294118,T-Mobile Park
10,KovZpa34ne,0.6470588235294118,McCaw Hall
11,rZ7HnEZaezH,0.6470588235294118,The Showbox
12,rZ7HnEZ17fZrA,0.5294117647058824,Here - After
13,rZ7HnEZ173bFA,0.29411764705882354,The Fremont Abbey
14,rZ7HnEZ173bk4,0.29411764705882354,Barboza
15,KovZpZA1evEA,0.058823529411764705,Seattle University Redhawk Center
16,KovZpZAEknnA,0.0,Lumen Field
17,KovZ917A9C7,0.0,Erickson Theatre Off Broadway
