event_id,event_name,event_type,event_url,locale,start_date,start_time,timezone,status,venue_id,venue_name,venue_city,venue_state,venue_country,venue_address,venue_postal_code,venue_latitude,venue_longitude,segment_name,genre_name,sub_genre_name,attraction_id,attraction_name,min_price,max_price,currency
LvZ18_cEVxUQzz8ZvQGBI,Lights Under Louisville,event,https://www.universe.com/events/lights-under-louisville-tickets-8GQL4S?ref=ticketmaster,en-us,2024-12-02,09:00:00,America/Kentucky/Louisville,onsale,KovZ917AYAE,Louisville Mega Cavern,Louisville,Kentucky,United States Of America,1841 Taylor Ave,40213,38.20184078,-85.70406744,Miscellaneous,Holiday,Holiday,K8vZ917q-d0,Lights Under Louisville,,,USD
Za5ju3rKuqZDd4_j607Jqu1tZFk30nDBMQ,Neyland Stadium Tour 12/2/24,event,,en-us,2024-12-02,10:00:00,America/New_York,offsale,Za5ju3rKuqZDvjEYR_DP_aAD6MXvM8lkMv,General Admission,,,United States Of America,3700 Glenwood Avenue,,35.83104,-78.6664,,,,,,,,
k7vGFbd1HKPv-,The Museum At Bethel Woods: Story of 60s & Woodstock,event,https://www.ticketmaster.com/the-museum-at-bethel-woods-story-bethel-new-york-12-02-2024/event/00006032BC4E5061,en-us,2024-12-02,10:00:00,America/New_York,onsale,KovZpZAEAEJA,The Museum at Bethel Woods,Bethel,New York,United States Of America,200 Hurd Road,12720,41.69631204,-74.87754464,Arts & Theatre,Fine Art,Fine Art,K8vZ917_d6f,The Museum At Bethel Woods: Story of 60s & Woodstock,5.0,23.0,USD
1718vOG62XXe3P1,Ride and Dine with Us!,event,https://www.ticketweb.com/event/ride-and-dine-with-us-hard-rock-cafe-tickets/13815413?REFERRAL_ID=tmfeed,en-us,2024-12-02,11:00:00,America/New_York,onsale,KovZpabd3e,Hard Rock Cafe Miami,Miami,Florida,United States Of America,401 Biscayne Blvd,33132,25.77843530,-80.18800120,Miscellaneous,Undefined,Undefined,,,,,
Za5ju3rKuqZBXPGyeiHgkhbsjzGbcgWjR,Minnesota Vikings Museum Tickets Dec. 2,event,,en-us,2024-12-02,10:00:00,America/Chicago,offsale,Za5ju3rKuqZDe2UUYP-OaZxadSGRpnURz9,Vikings Museum,Eagan,,United States Of America,2645 Vikings Circle,55121,,,,,,,,,,
Za5ju3rKuqZBPD3q4g44aSb_VDQYwnTE9,December 2nd Tours,event,,en-us,2024-12-02,09:30:00,America/Phoenix,offsale,Za5ju3rKuqZBjJuuAUR4aDhRj6GcYF08-,Chase Field Tours,Phoenix,Arizona,United States Of America,401 E. Jefferson,85004,33.444799,-112.066662,,,,,,,,
Z7r9jZ1A78Mqp,Alabama Crimson Tide Womens Basketball vs. Georgia State Panthers Womens Basketball,event,https://www.ticketmaster.com/event/Z7r9jZ1A78Mqp,en-us,2024-12-02,11:00:00,,onsale,ZFr9jZddk6,Coleman Coliseum,Tuscaloosa,Alabama,United States Of America,100 Paul W Bryant Dr,35401,33.166401000,-87.611801000,Sports,Basketball,College,K8vZ9175oFf,Alabama Crimson Tide Womens Basketball,,,
Za5ju3rKuqZBGhRoG_3qe_Iel3MmhJrrw,"Monday, 12/02/24",event,,en-us,2024-12-02,10:00:00,America/Denver,offsale,Za5ju3rKuqZDvXqPPaPtqae1xhVR9CcjFK,Ballpark Tours,Denver,Colorado,United States Of America,2001 Blake St,80205,,,,,,,,,,
Za5ju3rKuqZDdEIeixZwydT_F-AG6yczkF,Simulcast,event,,en-us,2024-12-02,12:00:00,America/New_York,offsale,Za5ju3rKuqZBDaEluDXo1bIw8b5eRQTVt,Churchill Downs General Admin,Louisville,Kentucky,United States Of America,700 Central Avenue,40208,38.202306,-85.7700920000000119,,,,,,,,
Za5ju3rKuqZDe1zqDXoTAecn_46jJWeW7X,12/02/2024 Allegiant Stadium Tours,event,,en-us,2024-12-02,09:00:00,America/Los_Angeles,offsale,Za5ju3rKuqZDdIveUUKng2YFYiqJDT6zpe,Allegiant Stadium Tours,Las Vegas ,Nevada,United States Of America,3333 Al Davis Way,89118,,,,,,,,,,
Za5ju3rKuqZDeRyJhgb7v2Dy-BW924ZuiH,Carrot Top at Luxor,event,,en-us,2024-12-02,09:00:00,America/Los_Angeles,offsale,Za5ju3rKuqZDeH6owotQsa8QojLTNTqPK7,Atrium Theatre,Las Vegas,Nevada,United States Of America,3900 Las Vegas Blvd South,89109,36.086158,-115.172983999999985,,,,,,,,
1AeFZbaGkB3eo2V,Mosconi Cup 2024,event,https://www.ticketmaster.com/mosconi-cup-2024-orlando-florida-12-02-2024/event/2200609E920913F4,en-us,2024-12-02,13:00:00,America/New_York,onsale,KovZpZA7eaIA,Caribe Royale Orlando,Orlando,Florida,United States Of America,8101 World Center Drive,32821,28.35749200,-81.49340600,Sports,Miscellaneous,Miscellaneous,K8vZ917oO5f,Mosconi Cup,70.0,500.0,USD
Za5ju3rKuqZB0JrpXv_We8znm28cgibgP,Shark Reef Aquarium,event,,en-us,2024-12-02,10:00:00,America/Los_Angeles,offsale,Za5ju3rKuqZDeFydbojccenhe0ZKOhuimR,Shark Reef,Las Vegas,Nevada,United States Of America,3950 S Las Vegas Blvd,89119,36.092397,-115.175983999999985,,,,,,,,
