event_id,event_name,event_type,event_url,locale,start_date,start_time,timezone,status,venue_id,venue_name,venue_city,venue_state,venue_country,venue_address,venue_postal_code,venue_latitude,venue_longitude,segment_name,genre_name,sub_genre_name
Z698xZ2qZa17W,Paul McCartney: GOT BACK TOUR,event,https://www.ticketmaster.es/event/paul-mccartney-got-back-tour-tickets/41277?language=en-us,en-us,2024-12-09,21:00:00,Europe/Madrid,onsale,Z198xZ2qZkek,WiZink Center,Madrid,Madrid,Spain,"Av. Felipe II, s/n",28009,40.42394,-3.6758,Music,Rock,Pop
Z698xZ2qZa1Ad,Paul McCartney: GOT BACK TOUR,event,https://www.ticketmaster.es/event/paul-mccartney-got-back-tour-tickets/41283?language=en-us,en-us,2024-12-10,21:00:00,Europe/Madrid,onsale,Z198xZ2qZkek,WiZink Center,Madrid,Madrid,Spain,"Av. Felipe II, s/n",28009,40.42394,-3.6758,Music,Rock,Pop
Z698xZ2qZa13A,Imagine Dragons: LOOM World Tour | VIP Packages,event,https://www.ticketmaster.es/event/imagine-dragons-loom-world-tour-%7C-vip-packages-tickets/42117?language=en-us,en-us,2025-06-28,21:30:00,Europe/Madrid,onsale,Z598xZ2qZ6Fe1,Estadio Riyadh Air Metropolitano,Madrid,Madrid,Spain,"Av. de Luis Aragonés, 4",28022,40.43624,-3.59947,Music,Rock,Pop
Z698xZ2qZa18q,Imagine Dragons: LOOM World Tour,event,https://www.ticketmaster.es/event/imagine-dragons-loom-world-tour-tickets/42013?language=en-us,en-us,2025-06-28,21:30:00,Europe/Madrid,onsale,Z598xZ2qZ6Fe1,Estadio Riyadh Air Metropolitano,Madrid,Madrid,Spain,"Av. de Luis Aragonés, 4",28022,40.43624,-3.59947,Music,Rock,Pop
Z698xZ2qZa13R,Imagine Dragons: LOOM World Tour | VIP Packages,event,https://www.ticketmaster.es/event/imagine-dragons-loom-world-tour-%7C-vip-packages-tickets/42159?language=en-us,en-us,2025-07-01,21:30:00,Europe/Madrid,onsale,Z598xZ2qZd7eF,Estadi Olímpic Lluis Companys,Barcelona,Barcelona,Spain,"Passeig Olímpic, 5-7",08038,41.36476,2.15565,Music,Rock,Pop
Z698xZ2qZa189,Imagine Dragons: LOOM World Tour,event,https://www.ticketmaster.es/event/imagine-dragons-loom-world-tour-tickets/42007?language=en-us,en-us,2025-07-01,21:30:00,Europe/Madrid,onsale,Z598xZ2qZd7eF,Estadi Olímpic Lluis Companys,Barcelona,Barcelona,Spain,"Passeig Olímpic, 5-7",08038,41.36476,2.15565,Music,Rock,Pop
Z698xZ2qZaaB-, J. Bernardt,event,https://www.ticketmaster.es/event/-j-bernardt-tickets/40609?language=en-us,en-us,2024-12-02,20:30:00,Europe/Madrid,onsale,Z598xZ2qZdAdF,La Nau,Barcelona,Barcelona,Spain,"Carrer d'Àlaba, 30",08005,41.39417,2.19727,Music,Rock,Pop
Z698xZ2qZaaDE,Griff,event,https://www.ticketmaster.es/event/griff-tickets/40679?language=en-us,en-us,2024-12-02,20:30:00,Europe/Madrid,onsale,Z198xZ2qZkeF,Sala Razzmatazz 1,Barcelona,Barcelona,Spain,"C. Almogàvers, 122",08018,41.39772,2.19111,Music,Rock,Pop
Z698xZ2qZaaBL, J. Bernardt,event,https://www.ticketmaster.es/event/-j-bernardt-tickets/40607?language=en-us,en-us,2024-12-03,20:30:00,Europe/Madrid,onsale,Z598xZ2qZFd7k,Sala Villanos,Madrid,Madrid,Spain,"C. de Bernardino Obregón, 18",28012,40.40397,-3.78242,Music,Rock,Pop
Z698xZ2qZaaDP,Griff,event,https://www.ticketmaster.es/event/griff-tickets/40677?language=en-us,en-us,2024-12-03,21:00:00,Europe/Madrid,onsale,Z198xZ2qZAde,La Riviera,Madrid,Madrid,Spain,"Paseo Bajo de la Virgen del Puerto, s/n",28005,40.413,-3.72215,Music,Rock,Pop
Z698xZ2qZaaQy,Test Events Cris Enero English,event,https://www.ticketmaster.es/event/test-events-cris-enero-english-tickets/38585?language=en-us,en-us,2024-12-03,19:00:00,Europe/Madrid,onsale,Z198xZ2qZkeF,Sala Razzmatazz 1,Barcelona,Barcelona,Spain,"C. Almogàvers, 122",08018,41.39772,2.19111,Music,Pop,African Pop
Z698xZ2qZa18_,Matinée Gold Festival,event,https://www.ticketmaster.es/event/matinee-gold-festival-tickets/42009?language=en-us,en-us,2024-12-05,23:59:00,Europe/Madrid,onsale,Z598xZ2qZ7a6e,Safari Disco Club,Barcelona,Barcelona,Spain,"Carrer de Tarragona, 141",08014,41.37843,2.14477,Music,Undefined,Undefined
