event_id,type,currency,min_price,max_price
Z698xZ2qZa17W,standard including fees,EUR,51.0,554.5
Z698xZ2qZa17W,standard,EUR,45.0,500.0
Z698xZ2qZa1Ad,standard including fees,EUR,51.0,558.5
Z698xZ2qZa1Ad,standard,EUR,45.0,500.0
Z698xZ2qZa13A,standard,EUR,297.0,6757.5
Z698xZ2qZa13A,standard including fees,EUR,336.5,7112.5
Z698xZ2qZa18q,standard,EUR,65.0,260.0
Z698xZ2qZa18q,standard including fees,EUR,73.5,294.5
Z698xZ2qZa13R,standard,EUR,297.0,6757.5
Z698xZ2qZa13R,standard including fees,EUR,336.5,7112.5
Z698xZ2qZa189,standard,EUR,65.0,305.0
Z698xZ2qZa189,standard including fees,EUR,73.5,339.0
Z698xZ2qZaaB-,standard,EUR,23.0,23.0
Z698xZ2qZaaB-,standard including fees,EUR,26.0,26.0
Z698xZ2qZaaDE,standard,EUR,27.0,27.0
Z698xZ2qZaaDE,standard including fees,EUR,30.5,30.5
Z698xZ2qZaaBL,standard,EUR,23.0,23.0
Z698xZ2qZaaBL,standard including fees,EUR,26.0,26.0
Z698xZ2qZaaDP,standard,EUR,27.0,27.0
Z698xZ2qZaaDP,standard including fees,EUR,30.5,30.5
Z698xZ2qZaaQy,standard including fees,EUR,1.0,51.0
Z698xZ2qZaaQy,standard,EUR,50.0,50.0
Z698xZ2qZa18_,standard,EUR,15.0,250.0
Z698xZ2qZa18_,standard including fees,EUR,16.5,258.9
Z698xZ2qZaahq,standard including fees,EUR,34.9,89.9
Z698xZ2qZaahq,standard,EUR,32.6,86.0
Z698xZ2qZa1oo,standard including fees,EUR,28.5,28.5
Z698xZ2qZa1oo,standard,EUR,25.0,25.0
Z698xZ2qZa1ou,standard including fees,EUR,28.5,28.5
Z698xZ2qZa1ou,standard,EUR,25.0,25.0
Z698xZ2qZa172,standard,EUR,45.0,45.0
Z698xZ2qZa172,standard including fees,EUR,51.0,51.0
Z698xZ2qZa1Ah,standard,EUR,75.0,215.0
Z698xZ2qZa1Ah,standard including fees,EUR,85.0,244.5
Z698xZ2qZa1ds,standard,EUR,22.0,22.0
Z698xZ2qZa1ds,standard including fees,EUR,25.0,25.0
Z698xZ2qZa1ko,standard including fees,EUR,221.0,238.0
Z698xZ2qZa1ko,standard,EUR,195.0,210.0
Z698xZ2qZa1o2,standard,EUR,55.0,190.0
Z698xZ2qZa1o2,standard including fees,EUR,62.5,213.5
Z698xZ2qZa1_K,standard,EUR,32.14,391.96
Z698xZ2qZa1_K,standard including fees,EUR,0.0,438.96
Z698xZ2qZa1_5,standard including fees,EUR,3.8,418.91
Z698xZ2qZa1_5,standard,EUR,42.14,374.11
Z698xZ2qZa1_o,standard including fees,EUR,124.5,141.5
Z698xZ2qZa1_o,standard,EUR,110.0,125.0
Z698xZ2qZa1by,standard,EUR,35.0,95.0
Z698xZ2qZa1by,standard including fees,EUR,39.5,107.5
Z698xZ2qZa1dh,standard including fees,EUR,28.5,28.5
Z698xZ2qZa1dh,standard,EUR,25.0,25.0
Z698xZ2qZa1dE,standard,EUR,23.0,23.0
Z698xZ2qZa1dE,standard including fees,EUR,26.0,26.0
Z698xZ2qZa1bu,standard,EUR,35.0,65.0
Z698xZ2qZa1bu,standard including fees,EUR,39.5,73.5
Z698xZ2qZa1b6,standard including fees,EUR,34.0,73.5
Z698xZ2qZa1b6,standard,EUR,30.0,65.0
Z698xZ2qZa16q,standard,EUR,87.0,87.0
Z698xZ2qZa16q,standard including fees,EUR,98.5,98.5
Z698xZ2qZa1kS,standard,EUR,22.0,22.0
Z698xZ2qZa1kS,standard including fees,EUR,25.0,25.0
Z698xZ2qZaa0o,standard including fees,EUR,26.0,31.5
Z698xZ2qZaa0o,standard,EUR,23.0,28.0
Z698xZ2qZa1_S,standard,EUR,35.0,35.0
Z698xZ2qZa1_S,standard including fees,EUR,39.5,39.5
Z698xZ2qZaaTN,standard including fees,EUR,30.5,45.5
Z698xZ2qZaaTN,standard,EUR,27.0,40.0
Z698xZ2qZa1_s,standard,EUR,35.0,35.0
Z698xZ2qZa1_s,standard including fees,EUR,39.5,39.5
Z698xZ2qZ1kpfCopb,standard,EUR,26.0,26.0
Z698xZ2qZ1kpfCopb,standard including fees,EUR,29.5,29.5
Z698xZ2qZa1dt,standard,EUR,23.0,23.0
Z698xZ2qZa1dt,standard including fees,EUR,26.0,26.0
Z698xZ2qZa1f2,standard,EUR,40.0,40.0
Z698xZ2qZa1f2,standard including fees,EUR,45.5,45.5
Z698xZ2qZ16vC6v4AK,standard,EUR,26.0,26.0
Z698xZ2qZ16vC6v4AK,standard including fees,EUR,29.5,29.5
Z698xZ2qZ1k1aaPb6,standard,EUR,30.0,30.0
Z698xZ2qZ1k1aaPb6,standard including fees,EUR,34.0,34.0
Z698xZ2qZa1fo,standard,EUR,45.0,45.0
Z698xZ2qZa1fo,standard including fees,EUR,51.0,51.0
Z698xZ2qZa1fK,standard,EUR,45.0,45.0
Z698xZ2qZa1fK,standard including fees,EUR,51.0,51.0
Z698xZ2qZa1q-,standard,EUR,22.0,22.0
Z698xZ2qZa1q-,standard including fees,EUR,25.0,25.0
