venue_state_code,segment_name,genre_name,sub_genre_name,min_price,max_price,average_price
AK,Sports,Boxing,Boxing,13.35,69.75,41.55
AL,Arts & Theatre,Children's Theatre,Children's Theatre,31.4,60.4,45.9
AL,Arts & Theatre,Circus & Specialty Acts,Circus,20.0,90.0,55.0
AL,Arts & Theatre,Classical,Symphonic,35.285714285714285,101.71428571428571,68.5
AL,Arts & Theatre,Comedy,Comedy,30.35670731707317,62.08841463414634,46.22256097560975
AL,Arts & Theatre,Dance,Dance,49.55555555555556,99.0,74.27777777777777
AL,Arts & Theatre,Magic & Illusion,Magic,41.833333333333336,109.5,75.66666666666667
AL,Arts & Theatre,Miscellaneous Theatre,Miscellaneous Theatre,29.75,69.75,49.75
AL,Arts & Theatre,Multimedia,Multimedia,55.0,95.0,75.0
AL,Arts & Theatre,Theatre,Comedy,45.0,95.0,70.0
AL,Arts & Theatre,Theatre,Drama,54.0,60.0,57.0
AL,Arts & Theatre,Theatre,Horror,41.0,96.0,68.5
AL,Arts & Theatre,Theatre,Miscellaneous,39.5,49.5,44.5
AL,Arts & Theatre,Theatre,Musical,45.17333333333333,103.17333333333333,74.17333333333333
AL,Film,Comedy,Comedy,10.0,10.0,10.0
AL,Film,Drama,Drama,10.0,10.0,10.0
AL,Film,Family,Miscellaneous,10.0,10.0,10.0
AL,Miscellaneous,Community/Cultural,Public Skating,10.0,85.0,47.5
AL,Miscellaneous,Food & Drink,Food & Drink,55.0,55.0,55.0
AL,Miscellaneous,Ice Shows,Ice Shows,19.444444444444443,90.0,54.72222222222222
AL,Miscellaneous,Lecture/Seminar,Lecture/Seminar,43.0,123.0,83.0
AL,Music,Blues,Blues,55.833333333333336,151.16666666666666,103.5
AL,Music,Classical,Classical/Vocal,24.5,74.5,49.5
AL,Music,Country,Alternative Country,25.0,25.0,25.0
AL,Music,Country,Bluegrass,27.0,27.0,27.0
AL,Music,Country,Country,32.35,87.03,59.69
AL,Music,Dance/Electronic,Witchstep,15.75,175.0,95.375
AL,Music,Folk,Indie Folk,31.0,33.5,32.25
